#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline
33198813	Dusal.0001s00001	Dusal.0001s00001.1	Dusal.0001s00001.1.p												
33198817	Dusal.0001s00002	Dusal.0001s00002.1	Dusal.0001s00002.1.p										Cre07.g321400.t1.1	g7429.t1	Flagellar Associated Protein
33198824	Dusal.0001s00003	Dusal.0001s00003.1	Dusal.0001s00003.1.p												
33198776	Dusal.0001s00004	Dusal.0001s00004.1	Dusal.0001s00004.1.p										Cre09.g389050.t1.1	g9518.t1,CNX5	Molybdopterin cofactor sulfurase family protein
33198825	Dusal.0001s00005	Dusal.0001s00005.1	Dusal.0001s00005.1.p										Cre07.g321400.t1.1	g7429.t1	Flagellar Associated Protein
33198808	Dusal.0001s00006	Dusal.0001s00006.1	Dusal.0001s00006.1.p												
33198812	Dusal.0001s00007	Dusal.0001s00007.1	Dusal.0001s00007.1.p												
33198780	Dusal.0001s00008	Dusal.0001s00008.1	Dusal.0001s00008.1.p												
33198791	Dusal.0001s00009	Dusal.0001s00009.1	Dusal.0001s00009.1.p	PF01226	PTHR30520,PTHR30520:SF0				GO:0016020,GO:0006810,GO:0005215				Cre06.g309000.t1.2	g7150.t1,Cre06.g309000.t1.1,LCIA	Anion transporter
33198807	Dusal.0001s00010	Dusal.0001s00010.1	Dusal.0001s00010.1.p												
33198783	Dusal.0001s00011	Dusal.0001s00011.1	Dusal.0001s00011.1.p												
33198819	Dusal.0001s00012	Dusal.0001s00012.1	Dusal.0001s00012.1.p										Cre15.g640000.t1.1	g15401.t1	
33198814	Dusal.0001s00013	Dusal.0001s00013.1	Dusal.0001s00013.1.p	PF06461,PF00385,PF00271,PF00176	PTHR10799,PTHR10799:SF788	KOG0386	3.6.4.12	K11643	GO:0005524	AT2G25170.1	CHD3,CHR6,GYM,PKL,SSL2	chromatin remodeling factor CHD3 (PICKLE)	Cre08.g377200.t1.1	g8883.t1,SRH16	
33198777	Dusal.0001s00014	Dusal.0001s00014.1	Dusal.0001s00014.1.p	PF00903	PTHR10374,PTHR10374:SF17	KOG2943	4.4.1.5	K01759		AT1G67280.1		Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein	Cre17.g704350.t1.2	g17075.t1,Cre17.g704350.t1.1	
33198790	Dusal.0001s00015	Dusal.0001s00015.1	Dusal.0001s00015.1.p												
33198826	Dusal.0001s00016	Dusal.0001s00016.1	Dusal.0001s00016.1.p												
33198781	Dusal.0001s00017	Dusal.0001s00017.1	Dusal.0001s00017.1.p												
33198771	Dusal.0001s00018	Dusal.0001s00018.1	Dusal.0001s00018.1.p												
33198794	Dusal.0001s00019	Dusal.0001s00019.1	Dusal.0001s00019.1.p												
33198795	Dusal.0001s00019	Dusal.0001s00019.2	Dusal.0001s00019.2.p												
33198787	Dusal.0001s00020	Dusal.0001s00020.1	Dusal.0001s00020.1.p												
33198821	Dusal.0001s00021	Dusal.0001s00021.1	Dusal.0001s00021.1.p			KOG1850,KOG1003	2.7.11.1			AT1G54970.1	ATPRP1,PRP1,RHS7	proline-rich protein 1			
33198797	Dusal.0001s00022	Dusal.0001s00022.1	Dusal.0001s00022.1.p												
33198772	Dusal.0001s00023	Dusal.0001s00023.1	Dusal.0001s00023.1.p		PTHR12341,PTHR12341:SF30					AT1G75660.1	AtXRN3,XRN3	5\prime-3\prime exoribonuclease 3	Cre16.g679900.t1.2	g16512.t1,Cre16.g679900.t1.1,XRN3	5\prime to 3\prime exoribonuclease
33198773	Dusal.0001s00023	Dusal.0001s00023.2	Dusal.0001s00023.2.p												
33198788	Dusal.0001s00024	Dusal.0001s00024.1	Dusal.0001s00024.1.p	PF03159	PTHR12341			K12619	GO:0004527,GO:0003676	AT1G75660.1	AtXRN3,XRN3	5\prime-3\prime exoribonuclease 3	Cre16.g679900.t1.2	g16512.t1,Cre16.g679900.t1.1,XRN3	5\prime to 3\prime exoribonuclease
33198774	Dusal.0001s00025	Dusal.0001s00025.1	Dusal.0001s00025.1.p	PF01712	PTHR10513,PTHR10513:SF24					AT1G72040.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein	Cre02.g095350.t1.1	g1936.t1,DNK1	
33198823	Dusal.0001s00026	Dusal.0001s00026.1	Dusal.0001s00026.1.p	PF00226						AT5G22080.1		Chaperone DnaJ-domain superfamily protein	Cre06.g281563.t1.1	g6549.t1,Cre06.g281550.t1.3	
33198815	Dusal.0001s00027	Dusal.0001s00027.1	Dusal.0001s00027.1.p	PF04438	PTHR15555,PTHR15555:SF0					AT5G63830.1		HIT-type Zinc finger family protein	Cre08.g379050.t1.1	g8921.t1	
33198804	Dusal.0001s00028	Dusal.0001s00028.1	Dusal.0001s00028.1.p												
33198792	Dusal.0001s00029	Dusal.0001s00029.1	Dusal.0001s00029.1.p										Cre16.g681351.t1.2	g16476.t1,Cre16.g681351.t1.1	
33198806	Dusal.0001s00030	Dusal.0001s00030.1	Dusal.0001s00030.1.p	PF00155	PTHR11879,PTHR11879:SF1	KOG1411	2.6.1.1	K00811	GO:0030170,GO:0009058,GO:0008483,GO:0006520	AT4G31990.4	AAT3,ASP5,ATAAT1	aspartate aminotransferase 5	Cre02.g097900.t1.2	g1991.t1,Cre02.g097900.t1.1,AST3	Aspartate aminotransferase
33198786	Dusal.0001s00031	Dusal.0001s00031.1	Dusal.0001s00031.1.p	PF10607,PF00622	PTHR12864,PTHR12864:SF21	KOG1477			GO:0005515	AT1G35470.2		SPla/RYanodine receptor (SPRY) domain-containing protein	Cre09.g387801.t1.1	g9596.t1,Cre02.g122350.t1.1	
33198775	Dusal.0001s00032	Dusal.0001s00032.1	Dusal.0001s00032.1.p												
33198793	Dusal.0001s00033	Dusal.0001s00033.1	Dusal.0001s00033.1.p	PF08662	PTHR13227,PTHR13227:SF0			K15026		AT1G73180.1		Eukaryotic translation initiation factor eIF2A family protein	Cre08.g375900.t1.1	g8856.t1,EIF2A-1,EIF2Aa,EIF2X	Eukaryotic translation initiation factor 2 subunit 1, eIF2-alpha subunit
33198799	Dusal.0001s00034	Dusal.0001s00034.1	Dusal.0001s00034.1.p		PTHR33970,PTHR33970:SF2		1.10.99.3			AT2G21860.1		violaxanthin de-epoxidase-related	Cre09.g388060.t1.1	g9603.t1,Cre02.g122650.t1.1,Cre02.g122650.t1.2,VDR1	Violaxanthin de-epoxidase-related protein
33198800	Dusal.0001s00034	Dusal.0001s00034.2	Dusal.0001s00034.2.p		PTHR33970,PTHR33970:SF2		1.10.99.3			AT2G21860.1		violaxanthin de-epoxidase-related	Cre09.g388060.t1.1	g9603.t1,Cre02.g122650.t1.1,Cre02.g122650.t1.2,VDR1	Violaxanthin de-epoxidase-related protein
33198810	Dusal.0001s00035	Dusal.0001s00035.1	Dusal.0001s00035.1.p												
33198816	Dusal.0001s00036	Dusal.0001s00036.1	Dusal.0001s00036.1.p		PTHR11571,PTHR11571:SF118		2.5.1.18	K00799					Cre17.g742300.t1.1	g17953.t1,GST14	Glutathione S-transferase
