1	88983	89083
1	106667	106767
1	173991	174291
1	192845	193145
1	195934	196234
1	257808	258108
1	308408	308508
1	402715	402915
1	507736	507836
1	516301	516601
1	525050	525150
1	766633	766933
1	771641	771841
1	789281	789481
1	833074	833274
1	860373	860673
1	886567	886667
1	889653	889753
1	893150	893350
1	910918	911218
1	922194	922494
1	1078196	1078296
1	1178010	1178310
1	1181533	1181633
1	1201862	1202062
1	1339361	1339561
1	1441499	1441599
1	1477107	1477307
10	17485	17585
10	59397	59497
10	65357	65557
10	293603	293703
10	312868	312968
10	495515	495715
10	544986	545186
10	614700	614900
10	706533	706733
10	713128	713228
10	721105	721405
10	725314	725514
10	790099	790199
10	927790	927990
10	950505	950805
10	960594	960894
11	150380	150580
11	315902	316202
11	463471	463771
11	472181	472281
11	528757	529057
11	562655	562755
11	563960	564260
11	608847	608947
11	621506	621606
11	698445	698745
11	708871	709071
11	743886	744086
11	782889	783189
11	924154	924354
11	1032584	1032684
12	75619	75719
12	259736	259836
12	308762	309062
12	389798	390098
12	439345	439645
12	454992	455292
12	470596	470896
12	612286	612386
12	658285	658485
12	708406	708506
12	720631	720731
12	738782	739082
12	762242	762542
12	806463	806663
12	819906	820006
12	889888	890088
12	891532	891732
12	904220	904520
12	982054	982354
12	1016202	1016502
12	1017639	1017739
13	126950	127250
13	259054	259354
13	366988	367288
13	404991	405291
13	418261	418361
13	421704	421804
13	430954	431054
13	432704	433004
13	435789	435889
13	495386	495586
13	546740	546840
13	589115	589415
13	664998	665098
13	692353	692653
13	730131	730431
13	741711	742011
13	749485	749785
13	788259	788359
13	824162	824462
14	64973	65273
14	95943	96043
14	180676	180876
14	196603	196903
14	288572	288772
14	342669	342769
14	350611	350711
14	410199	410299
14	431868	432168
14	522631	522831
14	537216	537516
14	600214	600514
14	608395	608695
14	816766	817066
15	156528	156828
15	178928	179128
15	227281	227481
15	235379	235479
15	285902	286002
15	310345	310545
15	316354	316554
15	450822	450922
15	506575	506775
15	544398	544498
15	547031	547131
15	566106	566406
15	647798	647998
15	735887	736187
15	761294	761494
16	39991	40291
16	170634	170734
16	225638	225738
16	312652	312752
16	366737	367037
16	421432	421732
16	470056	470256
16	622077	622277
16	663668	663968
16	678301	678401
17	5642	5842
17	6235	6535
17	54603	54803
17	125362	125462
17	178835	179135
17	309458	309758
17	331049	331349
17	345696	345896
17	357647	357947
17	541872	542172
17	549678	549778
17	593616	593816
17	627035	627335
18	154179	154379
18	170193	170293
18	232915	233215
18	244526	244826
18	263015	263215
18	263699	263899
18	299972	300172
18	408675	408875
18	488162	488262
19	28599	28899
19	42105	42305
19	154975	155075
19	165985	166285
19	188094	188394
19	267631	267831
