locusName	arabi-defline
Cz01g00020	glycine-tRNA ligases
Cz01g00030	eukaryotic translation initiation factor 4E
Cz01g00040	
Cz01g00050	Leucine-rich repeat protein kinase family protein
Cz01g00060	phosphatidylinositol synthase 1
Cz01g00070	FAD/NAD(P)-binding oxidoreductase family protein
Cz01g00080	protein phosphatase 2A-2
Cz01g00090	Acyl transferase/acyl hydrolase/lysophospholipase superfamily protein
Cz01g00100	Protein phosphatase 2C family protein
Cz01g00110	sec34-like family protein
Cz01g00120	interferon-related developmental regulator family protein / IFRD protein family
Cz01g00130	
Cz01g00140	Protein phosphatase 2C family protein
Cz01g00150	
Cz01g00160	debranching enzyme 1
Cz01g00170	
Cz01g00180	
Cz01g00190	transferases;nucleotidyltransferases
Cz01g00200	transferases;nucleotidyltransferases
Cz01g00210	
Cz01g00220	Trypsin family protein with PDZ domain
Cz01g00230	Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial
Cz01g00240	calmodulin-like 11
Cz01g00250	
Cz01g00260	
Cz01g00270	gamma-glutamyl hydrolase 1
Cz01g00280	gamma-glutamyl hydrolase 3
Cz01g00290	Transmembrane amino acid transporter family protein
Cz01g00300	Lojap-related protein
Cz01g00310	
Cz01g01010	Transducin/WD40 repeat-like superfamily protein
Cz01g01020	S-adenosyl-L-homocysteine hydrolase
Cz01g01030	
Cz01g01040	
Cz01g01050	
Cz01g01060	
Cz01g01070	Calcium-binding EF-hand family protein
Cz01g01080	EMBRYO DEFECTIVE 140
Cz01g01090	
Cz01g01100	
Cz01g01110	
Cz01g01120	
Cz01g01130	
Cz01g01140	Helicase protein with RING/U-box domain
Cz01g01150	RPM1 interacting protein 13
Cz01g01160	
Cz01g01170	
Cz01g01180	
Cz01g01190	ankyrin repeat family protein
Cz01g01200	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Cz01g01210	eukaryotic initiation factor 4A-III
Cz01g01220	methionine--tRNA ligase, putative / methionyl-tRNA synthetase, putative / MetRS, putative
Cz01g01230	
Cz01g01240	phototropin 2
Cz01g01250	RAP
Cz01g02010	
Cz01g02020	
Cz01g02030	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Cz01g02040	
Cz01g02050	NAD(P)-binding Rossmann-fold superfamily protein
Cz01g02060	basic transcription factor 3
Cz01g02070	alanine-2-oxoglutarate aminotransferase 2
Cz01g02080	
Cz01g02090	
Cz01g02100	
Cz01g02110	
Cz01g02120	
Cz01g02130	
Cz01g02140	
Cz01g02150	
Cz01g02160	Mitochondrial substrate carrier family protein
Cz01g02170	
Cz01g02180	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
Cz01g02190	Polyketide cyclase/dehydrase and lipid transport superfamily protein
Cz01g02200	
Cz01g02210	
Cz01g02220	
Cz01g02230	Glycosyl hydrolases family 31  protein
Cz01g02240	NAD(P)-linked oxidoreductase superfamily protein
Cz01g02250	NAD(P)-linked oxidoreductase superfamily protein
Cz01g02260	porphyromonas-type peptidyl-arginine deiminase family protein
Cz01g02270	
Cz01g02280	
Cz01g02290	abscisic acid (aba)-deficient 4
Cz01g02300	CLP protease R subunit 4
Cz01g03010	
Cz01g03020	Protein kinase superfamily protein
Cz01g03030	
Cz01g03040	
Cz01g03050	
Cz01g03060	
Cz01g03070	SET domain-containing protein
Cz01g03080	
Cz01g03090	
Cz01g03100	
Cz01g03110	thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)
Cz01g03120	
Cz01g03130	
Cz01g03140	
Cz01g03150	
Cz01g03160	
Cz01g03170	protein arginine methyltransferase 3
Cz01g03180	protein arginine methyltransferase 7
Cz01g03190	farnesyl diphosphate synthase 2
Cz01g03200	
Cz01g03210	adenine nucleotide transporter 1
Cz01g03220	Adenine nucleotide alpha hydrolases-like superfamily protein
Cz01g03230	
Cz01g03240	Glycine cleavage T-protein family
Cz01g03250	Domain of unknown function (DUF1726) ;Putative ATPase (DUF699)
Cz01g03260	Domain of unknown function (DUF1726) ;Putative ATPase (DUF699)
Cz01g03270	ubiquitin-conjugating enzyme 32
Cz01g03280	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Cz01g03290	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Cz01g03300	
Cz01g03310	
Cz01g03320	
Cz01g04010	Oxysterol-binding family protein
Cz01g04020	SAP domain-containing protein
Cz01g04030	
Cz01g04040	Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein
Cz01g04050	
Cz01g04060	
Cz01g04070	C-CAP/cofactor C-like domain-containing protein
Cz01g04080	Actin-like ATPase superfamily protein
Cz01g04090	
Cz01g04100	glutamine synthetase 2
Cz01g04110	
Cz01g04120	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
Cz01g04130	
Cz01g04140	Regulator of chromosome condensation (RCC1) family protein
Cz01g04150	Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein
Cz01g04160	Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein
Cz01g04170	phosphoenolpyruvate carboxylase-related kinase 2
Cz01g04180	Transducin/WD40 repeat-like superfamily protein
Cz01g04190	Transducin/WD40 repeat-like superfamily protein
Cz01g04200	S-adenosylmethionine decarboxylase
Cz01g04210	Adenosylmethionine decarboxylase family protein
Cz01g04220	Divalent ion symporter
Cz01g04230	trigalactosyldiacylglycerol2
Cz01g04240	
Cz01g04250	Inositol monophosphatase family protein
Cz01g04260	indole-3-butyric acid response 1
Cz01g05010	esterase/lipase/thioesterase family protein
Cz01g05020	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Cz01g05030	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Cz01g05040	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Cz01g05050	
Cz01g05060	
Cz01g05070	Sec14p-like phosphatidylinositol transfer family protein
Cz01g05080	
Cz01g05090	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Cz01g05100	Leucine-rich repeat (LRR) family protein
Cz01g05110	
Cz01g05120	
Cz01g05130	
Cz01g05140	
Cz01g05150	
Cz01g05160	phosphoenolpyruvate carboxykinase 2
Cz01g05170	
Cz01g05180	
Cz01g05190	DHHC-type zinc finger family protein
Cz01g05200	
Cz01g05210	
Cz01g05220	
Cz01g05230	FAD/NAD(P)-binding oxidoreductase family protein
Cz01g05240	FAD/NAD(P)-binding oxidoreductase family protein
Cz01g05250	
Cz01g05260	
Cz01g05270	acclimation of photosynthesis to  environment
Cz01g05275	
Cz01g05280	
Cz01g05290	DNAJ heat shock family protein
Cz01g05300	
Cz01g05310	
Cz01g05320	tubulin folding cofactor E / Pfifferling (PFI)
Cz01g06010	
Cz01g06020	Phosphatidylinositol-4-phosphate 5-kinase family protein
Cz01g06030	
Cz01g06040	DegP protease 10
Cz01g06050	phosphoglucan, water dikinase
Cz01g06060	phosphoglucan, water dikinase
Cz01g06070	
Cz01g06080	
Cz01g06090	
Cz01g06100	disease resistance protein (TIR-NBS-LRR class)
Cz01g06110	disease resistance protein (TIR-NBS-LRR class)
Cz01g06120	
Cz01g06130	
