Vocar.0001s0003.1	5-formyltetrahydrofolate cycloligase.
Vocar.0001s0003.2	5-formyltetrahydrofolate cycloligase.
Vocar.0001s0013.1	contains a TRAUB domain (IPR012617).
Vocar.0001s0043.1	eukaryotic translation initiation factor 6.
Vocar.0001s0073.1	plastid / chloroplast ribosomal protein L7/L12; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L7/L12.
Vocar.0001s0074.1	mitochondrial F1F0 ATP synthase associated protein (Asa4).
Vocar.0001s0074.2	mitochondrial F1F0 ATP synthase associated protein (Asa4).
Vocar.0001s0077.1	26S proteasome regulatory complex, lid subcomplex, non-ATPase subunit Rpn7 (subunit 6; Psd6; PSMD6).
Vocar.0001s0087.1	Protein containing an interrupted SET domain; Similarity to Chlamydomonas SDG3407 (XP_001693810).
Vocar.0001s0087.2	Protein containing an interrupted SET domain; Similarity to Chlamydomonas SDG3407 (XP_001693810).
Vocar.0001s0117.1	mitogen-activated protein kinase 1; downstream kinase in the canonical MAP kinase pathway. Similar to Chlamy LF4 mapk that controls flagella length.
Vocar.0001s0162.1	C2H2-type zinc finger related protein with arsenite-resistance domain; mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry AY850006.
Vocar.0001s0162.2	C2H2-type zinc finger related protein with arsenite-resistance domain; mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry AY850006.
Vocar.0001s0188.1	very similart to C. reinhardtii FAP66, a highly conserved uncharacterized protein that is found in the flagellar proteome [PMID: 15998802].
Vocar.0001s0188.2	very similart to C. reinhardtii FAP66, a highly conserved uncharacterized protein that is found in the flagellar proteome [PMID: 15998802].
Vocar.0001s0196.1	ribosomal protein S16; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0001s0227.1	mitochondrial substrate carrier, mitochondrial carrier protein (Mitc11).
Vocar.0001s0246.1	plastid / chloroplast ribosomal protein L21; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L21.
Vocar.0001s0264.1	Encodes Gamma tubulin.
Vocar.0001s0264.2	Encodes Gamma tubulin.
Vocar.0001s0267.1	SufA/IscA homolog; similar to HesB (cyanobacteria); possible localization to plastids.
Vocar.0001s0271.1	Conserved expressed protein; presence of a homolog in Guillardia theta and Anabaena suggests plastid localization.
Vocar.0001s0273.1	ribosomal protein L17; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s0273.2	ribosomal protein L17; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s0275.1	NADH:ubiquinone oxidoreductase (complex I)18 kDa subunit, mitochondrial.
