locusName	arabi-defline
Dusal.0001s00001	
Dusal.0001s00002	
Dusal.0001s00003	
Dusal.0001s00004	
Dusal.0001s00005	
Dusal.0001s00006	
Dusal.0001s00007	
Dusal.0001s00008	
Dusal.0001s00009	
Dusal.0001s00010	
Dusal.0001s00011	
Dusal.0001s00012	
Dusal.0001s00013	chromatin remodeling factor CHD3 (PICKLE)
Dusal.0001s00014	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein
Dusal.0001s00015	
Dusal.0001s00016	
Dusal.0001s00017	
Dusal.0001s00018	
Dusal.0001s00019	
Dusal.0001s00019	
Dusal.0001s00020	
Dusal.0001s00021	proline-rich protein 1
Dusal.0001s00022	
Dusal.0001s00023	5\'-3\' exoribonuclease 3
Dusal.0001s00023	
Dusal.0001s00024	5\'-3\' exoribonuclease 3
Dusal.0001s00025	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Dusal.0001s00026	Chaperone DnaJ-domain superfamily protein
Dusal.0001s00027	HIT-type Zinc finger family protein
Dusal.0001s00028	
Dusal.0001s00029	
Dusal.0001s00030	aspartate aminotransferase 5
Dusal.0001s00031	SPla/RYanodine receptor (SPRY) domain-containing protein
Dusal.0001s00032	
Dusal.0001s00033	Eukaryotic translation initiation factor eIF2A family protein
Dusal.0001s00034	violaxanthin de-epoxidase-related
Dusal.0001s00034	violaxanthin de-epoxidase-related
Dusal.0001s00035	
Dusal.0001s00036	
Dusal.0001s00037	transducin family protein / WD-40 repeat family protein
Dusal.0001s00038	
Dusal.0001s00039	
Dusal.0001s00040	Ribosomal protein S21e
Dusal.0001s00041	
Dusal.0001s00042	serine carboxypeptidase-like 50
Dusal.0001s00043	enoyl-CoA hydratase/isomerase D
Dusal.0001s00044	
Dusal.0001s00045	CwfJ-like family protein
Dusal.0001s00045	CwfJ-like family protein
Dusal.0001s00045	CwfJ-like family protein
Dusal.0001s00046	high chlorophyll fluorescent 107
Dusal.0001s00046	
Dusal.0001s00047	
Dusal.0001s00048	
Dusal.0001s00049	histone deacetylase 1
Dusal.0001s00050	
Dusal.0001s00051	Photosystem II reaction center PsbP family protein
Dusal.0001s00052	Phosphoinositide phosphatase family protein
Dusal.0001s00053	
Dusal.0001s00054	
Dusal.0001s00055	
Dusal.0002s00001	
Dusal.0002s00001	
Dusal.0002s00002	
Dusal.0002s00003	
Dusal.0002s00004	
Dusal.0002s00005	translocon at the inner envelope membrane of chloroplasts 110
Dusal.0002s00006	
Dusal.0002s00007	PAM domain (PCI/PINT associated module) protein
Dusal.0002s00008	Yippee family putative zinc-binding protein
Dusal.0002s00009	Translation elongation factor EFG/EF2 protein
Dusal.0002s00010	
Dusal.0002s00011	VPS35 homolog A
Dusal.0002s00012	Glutamyl-tRNA reductase family protein
Dusal.0002s00013	
Dusal.0002s00014	ATP/GTP-binding protein family
Dusal.0002s00015	Transducin family protein / WD-40 repeat family protein
Dusal.0002s00016	Transducin family protein / WD-40 repeat family protein
Dusal.0002s00017	Protein of unknown function (DUF2012)
Dusal.0002s00018	
Dusal.0002s00019	
Dusal.0002s00020	DNA polymerase V family
Dusal.0002s00021	DNA polymerase V family
Dusal.0002s00022	
Dusal.0002s00023	
Dusal.0002s00024	
Dusal.0002s00025	Histone superfamily protein
Dusal.0002s00026	Histone superfamily protein
Dusal.0002s00027	ubiquitin-conjugating enzyme 27
Dusal.0002s00028	photosystem II stability/assembly factor, chloroplast (HCF136)
Dusal.0002s00029	
Dusal.0002s00030	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Dusal.0002s00031	Histone superfamily protein
Dusal.0002s00032	Histone superfamily protein
Dusal.0002s00033	peptidyl-prolyl cis-trans isomerases
Dusal.0002s00034	Phosphoribosyltransferase family protein
Dusal.0002s00035	SER/ARG-rich protein 34A
Dusal.0002s00035	RNA-binding (RRM/RBD/RNP motifs) family protein
Dusal.0002s00036	histone H2A 10
Dusal.0002s00037	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Dusal.0002s00038	Histone superfamily protein
Dusal.0002s00039	Histone superfamily protein
Dusal.0002s00040	Class I glutamine amidotransferase-like superfamily protein
Dusal.0002s00041	cleavage and polyadenylation specificity factor 160
Dusal.0002s00042	cleavage and polyadenylation specificity factor 160
Dusal.0002s00043	cleavage and polyadenylation specificity factor 160
Dusal.0002s00044	cleavage and polyadenylation specificity factor 160
Dusal.0002s00044	cleavage and polyadenylation specificity factor 160
Dusal.0002s00044	cleavage and polyadenylation specificity factor 160
Dusal.0002s00045	
Dusal.0002s00046	phosphatase 2C5
Dusal.0002s00047	Calcineurin-like metallo-phosphoesterase superfamily protein
Dusal.0002s00048	
Dusal.0002s00049	
Dusal.0002s00050	
Dusal.0002s00051	NAD(P)-linked oxidoreductase superfamily protein
Dusal.0002s00052	Oxidoreductase, zinc-binding dehydrogenase family protein
Dusal.0002s00053	
Dusal.0002s00054	
Dusal.0002s00055	enzyme binding;tetrapyrrole binding
Dusal.0002s00056	adenine nucleotide transporter 1
Dusal.0002s00057	cytochrome P450, family 72, subfamily A, polypeptide 9
Dusal.0002s00057	cytochrome P450, family 72, subfamily A, polypeptide 9
Dusal.0002s00058	
Dusal.0002s00059	
Dusal.0002s00060	
Dusal.0002s00061	
Dusal.0002s00062	
Dusal.0002s00063	
Dusal.0002s00064	
Dusal.0002s00065	
Dusal.0002s00066	
Dusal.0002s00067	multiprotein bridging factor 1A
Dusal.0002s00068	
Dusal.0002s00068	
Dusal.0002s00069	
Dusal.0002s00070	FAD-dependent oxidoreductase family protein
Dusal.0002s00071	phosphatidylinositolglycan synthase family protein
Dusal.0002s00072	
Dusal.0002s00073	Translation machinery associated TMA7
Dusal.0002s00074	Ankyrin repeat family protein
Dusal.0002s00074	XB3 ortholog 3 in Arabidopsis thaliana
Dusal.0002s00075	
Dusal.0002s00076	TATA-binding related factor (TRF) of subunit 20 of Mediator complex
Dusal.0002s00077	Transducin/WD40 repeat-like superfamily protein
Dusal.0002s00078	DNAJ heat shock N-terminal domain-containing protein
Dusal.0002s00079	
Dusal.0002s00080	
Dusal.0002s00081	nudix hydrolase homolog 21
Dusal.0002s00082	
Dusal.0002s00083	phospholipid:diacylglycerol acyltransferase
Dusal.0002s00084	Ankyrin repeat family protein
Dusal.0002s00085	SOUL heme-binding family protein
Dusal.0002s00086	SOUL heme-binding family protein
