ID	type	annotation
kfl00001_0010	CDS	hypothetical protein
kfl00001_0020	CDS	hypothetical protein
kfl00001_0030	CDS	hypothetical protein
kfl00001_0040	CDS	hypothetical protein
kfl00001_0050	CDS	hypothetical protein
kfl00001_0060	CDS	hypothetical protein
kfl00001_0070	CDS	hypothetical protein
kfl00001_0080	CDS	hypothetical protein
kfl00001_0090	CDS	hypothetical protein
kfl00001_0100	CDS	hypothetical protein
kfl00001_0110	CDS	hypothetical protein
kfl00001_0120	CDS	hypothetical protein
kfl00001_0130	CDS	Nucleoside transporter family protein
kfl00001_0140	CDS	Nucleoside transporter family protein
kfl00001_0150	CDS	myo-inositol oxygenase
kfl00001_0160	CDS	BTB/POZ/Kelch-associated protein
kfl00001_0170	CDS	hypothetical protein
kfl00001_0180	CDS	hypothetical protein
kfl00001_0190	CDS	F-box domain containing protein
kfl00001_0200	CDS	polyketide cyclase/dehydrase and lipid transport superfamily protein
kfl00001_0210	CDS	CALCIUM CHANNEL-RELATED
kfl00001_0220	CDS	hypothetical protein
kfl00001_0230	CDS	hypothetical protein
kfl00001_0240	CDS	protein AIG1
kfl00001_0250	CDS	Topoisomerase 6 subunit A homolog 3, expressed
kfl00001_0260	CDS	enoyl-CoA isomerase
kfl00001_0270	CDS	hypothetical protein
kfl00001_0280	CDS	hypothetical protein
kfl00001_0290	CDS	O-fucosyltransferase family protein
kfl00001_0300	CDS	ABC transporter C family member 2
kfl00001_0310	CDS	hypothetical protein
kfl00001_0320	CDS	OEP16 (OUTER ENVELOPE PROTEIN 16);, C-terminal homology to Tim17/22
kfl00001_0330	CDS	major facilitator superfamily protein
kfl00001_0340	CDS	CAAX amino terminal motif-containing protease
kfl00001_0350	CDS	Cyclic nucleotide phosphodiesterase
kfl00001_0360	CDS	hypothetical protein
kfl00001_0370	CDS	hypothetical protein
kfl00001_0380	CDS	GLT25D; collagen beta-1,O-galactosyltransferase
kfl00001_0390	CDS	hypothetical protein
kfl00001_0400	CDS	hypothetical protein
kfl00001_0410	CDS	hypothetical protein
kfl00001_0420	CDS	hypothetical protein
kfl00001_0430	CDS	hypothetical protein
kfl00001_0440	CDS	D-isomer-specific 2-hydroxy acid dehydrogenase superfamily
kfl00001_0450	CDS	WD-40 repeat family protein
kfl00001_0460	CDS	hypothetical protein
kfl00001_0470	CDS	GPT, ALT; alanine transaminase
kfl00001_0480	CDS	Argonaute family protein
kfl00001_0490	CDS	haloacid dehalogenase-like hydrolase (HAD)-superfamily hydrolase, subfamily IG, 5'-nucleotidase
kfl00001_0500	CDS	UDP-Glycosyltransferase superfamily protein
kfl00001_0510	CDS	hypothetical protein
kfl00001_0520	CDS	hypothetical protein
kfl00001_0530	CDS	hypothetical protein
kfl00001_0540	CDS	hypothetical protein
kfl00001_0550	CDS	lipid phosphate phosphatase
kfl00001_0560	CDS	hypothetical protein
kfl00001_0570	CDS	hypothetical protein
kfl00001_0580	CDS	ankyrin repeat domain-containing protein
kfl00001_0590	CDS	tm-1GCR237 protein
kfl00001_0600	CDS	Xylose isomerase, TIM barrel domain containing protein
kfl00001_0610	CDS	Peptidase S41 family protein
kfl00001_0620	CDS	40S ribosomal protein S18
kfl00001_0630	CDS	hypothetical protein
kfl00001_0640	CDS	Peroxisome biogenesis factor 1
kfl00001_0650	CDS	hypothetical protein
kfl00001_0660	CDS	hypothetical protein
kfl00001_0670	CDS	FtsH protease
kfl00001_0680	CDS	hypothetical protein
kfl00001_0690	CDS	Structural maintenance of chromosome protein 2 (chromosome condensation complex Condensin, subunit E)
kfl00001_0700	CDS	hypothetical protein
kfl00001_0710	CDS	Myosin family protein with Dil domain
kfl00001_0720	CDS	glycerol-3-phosphate acyltransferase
kfl00001_0730	CDS	RNA binding protein
kfl00001_0740	CDS	20S proteasome, regulatory subunit beta protein
kfl00001_0750	CDS	chloroplast translation initiation factor IF-1
kfl00001_0760	CDS	hypothetical protein
kfl00001_0770	CDS	hypothetical protein
kfl00001_0780	CDS	phosphomethylpyrimidine kinase/thiamin-phosphate pyrophosphorylase
kfl00001_0790	CDS	mitochondrial substrate carrier family protein
kfl00001_0800	CDS	hypothetical protein
kfl00001_0810	CDS	alkaline phosphatase 
kfl00001_0820	CDS	hypothetical protein
kfl00001_0830	CDS	Acyl-CoA N-acyltransferase domain-containing protein
