Gene ID	GO	KOG	ENZYME
ostta01g00020	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00020" target="_blank">ostta01g00020</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006003" target="_blank">fructose 2,6-bisphosphate metabolic process (GO:0006003)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0234" target="_blank">KOG0234</a>	
ostta01g00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00040" target="_blank">ostta01g00040</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004470" target="_blank">malic enzyme activity (GO:0004470)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006108" target="_blank">malate metabolic process (GO:0006108)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051287" target="_blank">NAD binding (GO:0051287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004473" target="_blank">malate dehydrogenase (decarboxylating) (NADP+) activity (GO:0004473)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1257" target="_blank">KOG1257</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.40" target="_blank">1.1.1.40</a>
ostta01g00050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00050" target="_blank">ostta01g00050</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006814" target="_blank">sodium ion transport (GO:0006814)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006885" target="_blank">regulation of pH (GO:0006885)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015385" target="_blank">sodium:proton antiporter activity (GO:0015385)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015299" target="_blank">solute:proton antiporter activity (GO:0015299)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1965" target="_blank">KOG1965</a>	
ostta01g00060	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00060" target="_blank">ostta01g00060</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008486" target="_blank">diphosphoinositol-polyphosphate diphosphatase activity (GO:0008486)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2839" target="_blank">KOG2839</a>	
ostta01g00070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00070" target="_blank">ostta01g00070</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005249" target="_blank">voltage-gated potassium channel activity (GO:0005249)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006813" target="_blank">potassium ion transport (GO:0006813)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008076" target="_blank">voltage-gated potassium channel complex (GO:0008076)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005216" target="_blank">ion channel activity (GO:0005216)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006811" target="_blank">ion transport (GO:0006811)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1420" target="_blank">KOG1420</a>	
ostta01g00090	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00090" target="_blank">ostta01g00090</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004748" target="_blank">ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor (GO:0004748)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005971" target="_blank">ribonucleoside-diphosphate reductase complex (GO:0005971)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006260" target="_blank">DNA replication (GO:0006260)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1112" target="_blank">KOG1112</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.17.4.1" target="_blank">1.17.4.1</a>
ostta01g00100	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00100" target="_blank">ostta01g00100</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004527" target="_blank">exonuclease activity (GO:0004527)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004535" target="_blank">poly(A)-specific ribonuclease activity (GO:0004535)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1275" target="_blank">KOG1275</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.13.4" target="_blank">3.1.13.4</a>
ostta01g00130	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00130" target="_blank">ostta01g00130</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004364" target="_blank">glutathione transferase activity (GO:0004364)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0406" target="_blank">KOG0406</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.18" target="_blank">2.5.1.18</a>
ostta01g00140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00140" target="_blank">ostta01g00140</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008967" target="_blank">phosphoglycolate phosphatase activity (GO:0008967)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008138" target="_blank">protein tyrosine/serine/threonine phosphatase activity (GO:0008138)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008330" target="_blank">protein tyrosine/threonine phosphatase activity (GO:0008330)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008579" target="_blank">JUN kinase phosphatase activity (GO:0008579)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016312" target="_blank">inositol bisphosphate phosphatase activity (GO:0016312)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017017" target="_blank">MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017161" target="_blank">inositol-1,3,4-trisphosphate 4-phosphatase activity (GO:0017161)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019178" target="_blank">NADP phosphatase activity (GO:0019178)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019198" target="_blank">transmembrane receptor protein phosphatase activity (GO:0019198)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030351" target="_blank">inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity (GO:0030351)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030352" target="_blank">inositol-1,4,5,6-tetrakisphosphate 6-phosphatase activity (GO:0030352)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043726" target="_blank">5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity (GO:0043726)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043812" target="_blank">phosphatidylinositol-4-phosphate phosphatase activity (GO:0043812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043813" target="_blank">phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity (GO:0043813)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2914" target="_blank">KOG2914</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.-" target="_blank">3.1.3.-</a>
ostta01g00190	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00190" target="_blank">ostta01g00190</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051082" target="_blank">unfolded protein binding (GO:0051082)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0019" target="_blank">KOG0019</a>	
ostta01g00210	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00210" target="_blank">ostta01g00210</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG4122" target="_blank">KOG4122</a>	
ostta01g00240	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00240" target="_blank">ostta01g00240</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050660" target="_blank">flavin adenine dinucleotide binding (GO:0050660)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1232" target="_blank">KOG1232</a>	
ostta01g00250	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00250" target="_blank">ostta01g00250</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008440" target="_blank">inositol-1,4,5-trisphosphate 3-kinase activity (GO:0008440)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1620" target="_blank">KOG1620</a>	
ostta01g00260	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00260" target="_blank">ostta01g00260</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0031072" target="_blank">heat shock protein binding (GO:0031072)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0548" target="_blank">KOG0548</a>	
