Gene ID	GO	KO	PFAM
ME1082489C05696	ME1082489C05696	<a href="http://amigo.geneontology.org/amigo/term/GO:0030246" target="_blank">carbohydrate binding (GO:0030246)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00139" target="_blank">PF00139</a>
ME000657S08866	ME000657S08866	<a href="http://amigo.geneontology.org/amigo/term/GO:0016435" target="_blank">rRNA (guanine) methyltransferase activity (GO:0016435)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0070476" target="_blank">rRNA (guanine-N7)-methylation (GO:0070476)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19306" target="_blank">K19306</a>	<a href="http://pfam.xfam.org/family/PF12589" target="_blank">PF12589</a> <a href="http://pfam.xfam.org/family/PF08241" target="_blank">PF08241</a> <a href="http://pfam.xfam.org/family/PF13649" target="_blank">PF13649</a>
ME000657S08869	ME000657S08869	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13911" target="_blank">PF13911</a>
ME000657S08873	ME000657S08873	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13637" target="_blank">PF13637</a> <a href="http://pfam.xfam.org/family/PF12796" target="_blank">PF12796</a> <a href="http://pfam.xfam.org/family/PF13606" target="_blank">PF13606</a> <a href="http://pfam.xfam.org/family/PF13857" target="_blank">PF13857</a> <a href="http://pfam.xfam.org/family/PF00023" target="_blank">PF00023</a>
ME000657S08877	ME000657S08877	<a href="http://amigo.geneontology.org/amigo/term/GO:0034450" target="_blank">ubiquitin-ubiquitin ligase activity (GO:0034450)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006511" target="_blank">ubiquitin-dependent protein catabolic process (GO:0006511)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016567" target="_blank">protein ubiquitination (GO:0016567)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000151" target="_blank">ubiquitin ligase complex (GO:0000151)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008017" target="_blank">microtubule binding (GO:0008017)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004842" target="_blank">ubiquitin-protein transferase activity (GO:0004842)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10597" target="_blank">K10597</a>	<a href="http://pfam.xfam.org/family/PF10408" target="_blank">PF10408</a> <a href="http://pfam.xfam.org/family/PF00225" target="_blank">PF00225</a> <a href="http://pfam.xfam.org/family/PF04564" target="_blank">PF04564</a>
ME001272S00367	ME001272S00367	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016818" target="_blank">hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006139" target="_blank">nucleobase-containing compound metabolic process (GO:0006139)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003678" target="_blank">DNA helicase activity (GO:0003678)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11136" target="_blank">K11136</a>	<a href="http://pfam.xfam.org/family/PF13307" target="_blank">PF13307</a> <a href="http://pfam.xfam.org/family/PF06733" target="_blank">PF06733</a>
ME001272S00370	ME001272S00370	<a href="http://amigo.geneontology.org/amigo/term/GO:0004518" target="_blank">nuclease activity (GO:0004518)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00752" target="_blank">PF00752</a>
ME000350S05937	ME000350S05937	<a href="http://amigo.geneontology.org/amigo/term/GO:0030976" target="_blank">thiamine pyrophosphate binding (GO:0030976)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000287" target="_blank">magnesium ion binding (GO:0000287)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01652" target="_blank">K01652</a>	<a href="http://pfam.xfam.org/family/PF02776" target="_blank">PF02776</a> <a href="http://pfam.xfam.org/family/PF02775" target="_blank">PF02775</a> <a href="http://pfam.xfam.org/family/PF00205" target="_blank">PF00205</a>
ME000535S08194	ME000535S08194	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02325" target="_blank">PF02325</a>
ME000535S08195	ME000535S08195	<a href="http://amigo.geneontology.org/amigo/term/GO:0003951" target="_blank">NAD+ kinase activity (GO:0003951)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006741" target="_blank">NADP biosynthetic process (GO:0006741)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00858" target="_blank">K00858</a>	<a href="http://pfam.xfam.org/family/PF01513" target="_blank">PF01513</a>
