#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline
32885016	Vocar.0001s0001	Vocar.0001s0001.1	Vocar.0001s0001.1.p										Cre02.g142601.t1.1	g2636.t1	
32885017	Vocar.0001s0001	Vocar.0001s0001.2	Vocar.0001s0001.2.p										Cre02.g142601.t1.1	g2636.t1	
32886126	Vocar.0001s0002	Vocar.0001s0002.1	Vocar.0001s0002.1.p	PF00076					GO:0003676				Cre13.g588050.t1.2	g14425.t1,Cre13.g588050.t1.1	
32884996	Vocar.0001s0003	Vocar.0001s0003.1	Vocar.0001s0003.1.p	PF01812	PTHR13017,PTHR13017:SF0					AT1G76730.1		NagB/RpiA/CoA transferase-like superfamily protein	Cre13.g587450.t1.2	g14412.t1,Cre13.g587450.t1.1,FCL2	Predicted 5-formyltetrahydrofolate cycloligase
32884997	Vocar.0001s0003	Vocar.0001s0003.2	Vocar.0001s0003.2.p	PF01812	PTHR13017,PTHR13017:SF0					AT1G76730.1		NagB/RpiA/CoA transferase-like superfamily protein	Cre13.g587450.t1.2	g14412.t1,Cre13.g587450.t1.1,FCL2	Predicted 5-formyltetrahydrofolate cycloligase
32884377	Vocar.0001s0004	Vocar.0001s0004.1	Vocar.0001s0004.1.p	PF13450	PTHR10742,PTHR10742:SF285		1.3.5.5			AT4G14210.1	PDE226,PDS,PDS3	phytoene desaturase 3	Cre13.g587500.t2.1	g14413.t1,AOF8	
32885226	Vocar.0001s0005	Vocar.0001s0005.1	Vocar.0001s0005.1.p												
32884234	Vocar.0001s0006	Vocar.0001s0006.1	Vocar.0001s0006.1.p												
32885630	Vocar.0001s0007	Vocar.0001s0007.1	Vocar.0001s0007.1.p										Cre06.g259450.t1.2	g5832.t1,Cre06.g259450.t1.1	
32884494	Vocar.0001s0008	Vocar.0001s0008.1	Vocar.0001s0008.1.p	PF06423	PTHR20661				GO:0016746,GO:0016021,GO:0006506,GO:0005789	AT4G17910.1		transferases, transferring acyl groups	Cre13.g587200.t1.1	g14406.t1	
32884495	Vocar.0001s0008	Vocar.0001s0008.2	Vocar.0001s0008.2.p	PF06423	PTHR20661	KOG0411		K05283	GO:0016746,GO:0016021,GO:0006506,GO:0005789	AT4G17910.1		transferases, transferring acyl groups	Cre13.g587200.t1.1	g14406.t1	
32885928	Vocar.0001s0009	Vocar.0001s0009.1	Vocar.0001s0009.1.p										Cre02.g101050.t1.1	g2062.t1	
32885245	Vocar.0001s0010	Vocar.0001s0010.1	Vocar.0001s0010.1.p	PF11717,PF01853	PTHR10615	KOG2747	2.3.1.48	K11308	GO:0016747,GO:0006355	AT5G09740.1	HAM2	histone acetyltransferase of the MYST family 2	Cre13.g587150.t1.1	g14405.t1,HAT5	
32884373	Vocar.0001s0011	Vocar.0001s0011.1	Vocar.0001s0011.1.p	PF05996	PTHR34557,PTHR34557:SF1		1.3.7.5		GO:0055114,GO:0050897,GO:0016636,GO:0010024				Cre13.g587100.t1.2	g14404.t1,Cre13.g587100.t1.1,PCYA	Phycocyanobilin ferredoxin oxidoreductase-like protein
32884696	Vocar.0001s0012	Vocar.0001s0012.1	Vocar.0001s0012.1.p	PF03463,PF03465,PF03464	PTHR10113			K03265	GO:0016149,GO:0006415,GO:0005737	AT3G26618.1	ERF1-3	eukaryotic release factor 1-3	Cre13.g587050.t1.2	g14403.t1,Cre13.g587050.t1.1,ERF1	Eukaryotic release factor
32885843	Vocar.0001s0013	Vocar.0001s0013.1	Vocar.0001s0013.1.p	PF08164,PF13339	PTHR15565,PTHR15565:SF0	KOG2773		K14782	GO:0005634	AT5G61330.1		rRNA processing protein-related	Cre13.g587000.t1.2	g14402.t1,Cre13.g587000.t1.1	
32885011	Vocar.0001s0014	Vocar.0001s0014.1	Vocar.0001s0014.1.p	PF00082			3.4.21.111		GO:0006508,GO:0004252				Cre13.g585800.t1.2	g14377.t1,Cre13.g585800.t1.1,SUB2	Secreted serine protease, subtilase-type
32886137	Vocar.0001s0015	Vocar.0001s0015.1	Vocar.0001s0015.1.p	PF00989	PTHR31600,PTHR31600:SF2		2.7.13.3		GO:0006355				Cre13.g586650.t1.1	g14394.t1,FXL1	FixL-like PAS domain protein
32886138	Vocar.0001s0015	Vocar.0001s0015.2	Vocar.0001s0015.2.p	PF00989	PTHR31600,PTHR31600:SF2		2.7.13.3		GO:0006355				Cre13.g586650.t1.1	g14394.t1,FXL1	FixL-like PAS domain protein
32884395	Vocar.0001s0016	Vocar.0001s0016.1	Vocar.0001s0016.1.p		PTHR12363								Cre13.g586750.t2.1	g14396.t1	
32885283	Vocar.0001s0017	Vocar.0001s0017.1	Vocar.0001s0017.1.p		PTHR24006								Cre13.g586800.t1.1	g14397.t1	
32884608	Vocar.0001s0018	Vocar.0001s0018.1	Vocar.0001s0018.1.p												
32885623	Vocar.0001s0019	Vocar.0001s0019.1	Vocar.0001s0019.1.p												
32884999	Vocar.0001s0020	Vocar.0001s0020.1	Vocar.0001s0020.1.p	PF00060,PF00497	PTHR18966				GO:0016020,GO:0004970	AT1G05200.2	ATGLR3.4,GLR3.4,GLUR3	glutamate receptor 3.4	Cre12.g542569.t1.2	g13719.t2,Cre12.g542569.t1.1	
32885388	Vocar.0001s0021	Vocar.0001s0021.1	Vocar.0001s0021.1.p	PF09127,PF01433	PTHR11533,PTHR11533:SF174		3.3.2.6	K01254	GO:0019370,GO:0008270,GO:0008237,GO:0006508	AT5G13520.1		peptidase M1 family protein	Cre13.g585900.t1.2	g14379.t1,Cre13.g585900.t1.1,LKHA4	Leukotriene A-4 hydrolase
32885064	Vocar.0001s0022	Vocar.0001s0022.1	Vocar.0001s0022.1.p	PF13905,PF01436	PTHR13833,PTHR13833:SF49				GO:0005515	AT1G56500.1		haloacid dehalogenase-like hydrolase family protein	Cre13.g586050.t1.1	g14382.t1	
