Cre01.g000050.t1.1	RWP14
Cre01.g000150.t1.2	ZRT2
Cre01.g000250.t1.2	SNR1
Cre01.g000300.t1.1	GDP8
Cre01.g000400.t1.2	AXL3
Cre01.g000450.t1.2	AXL2
Cre01.g000500.t1.1	AXL5
Cre01.g000650.t1.1	AMX2
Cre01.g000800.t1.2	CGL136
Cre01.g000800.t2.1	CGL136
Cre01.g000850.t1.2	CPLD38
Cre01.g000900.t1.2	CPLD20
Cre01.g000950.t1.1	MFT13
Cre01.g001200.t1.1	MAPKKK14
Cre01.g001400.t1.1	ZMP1
Cre01.g001501.t1.1	OPR1
Cre01.g001550.t1.1	TIF3
Cre01.g001657.t1.1	DAB1
Cre01.g001750.t1.2	TIG1
Cre01.g001800.t1.1	FAP403
Cre01.g002050.t1.1	APT1
Cre01.g002200.t1.1	RPB6
Cre01.g002250.t1.2	NAT4
Cre01.g002300.t1.2	CYN19-2
Cre01.g002400.t1.1	TGL1
Cre01.g002500.t1.2	COP1
Cre01.g002550.t1.1	FAP335
Cre01.g002787.t1.1	SRR24A
Cre01.g002824.t1.1	SRR24B
Cre01.g002861.t1.1	SRR24
Cre01.g003050.t1.2	SEC8
Cre01.g003250.t1.1	CSB1
Cre01.g003500.t1.2	MSH2
Cre01.g003850.t1.1	CYP747A1
Cre01.g004250.t1.2	DLT3
Cre01.g004300.t1.2	ASN1
Cre01.g004350.t1.2	HLM1
Cre01.g004450.t1.2	CPLD42
Cre01.g004500.t1.2	LEU1
Cre01.g004550.t1.2	FAP190
Cre01.g004600.t1.1	RWP12
Cre01.g004850.t1.1	TXE1
Cre01.g005001.t1.1	CPLD9
Cre01.g005126.t1.1	CSB3
Cre01.g005150.t1.1	SGA1
Cre01.g005200.t1.1	TGL2
Cre01.g005450.t1.2	RSP10
Cre01.g005550.t1.2	ARL4
Cre01.g005600.t1.1	FDX8
Cre01.g005850.t1.2	FAP23	CBA2
Cre01.g006050.t1.1	LF3
Cre01.g006100.t1.2	FDX7
Cre01.g006150.t1.1	EFG9
Cre01.g006202.t1.1	CSB4
Cre01.g006800.t1.1	PIGA
Cre01.g006950.t1.1	FBA1
Cre01.g006950.t2.1	FBA1
Cre01.g007050.t1.2	CPLD11
Cre01.g007051.t1.2	RPL40
Cre01.g007350.t1.2	MOT42
Cre01.g007500.t1.1	NSS1
Cre01.g007500.t2.1	NSS1
Cre01.g007651.t1.1	PUS10
Cre01.g007737.t1.1	FBT1
Cre01.g007850.t1.2	TEF29
Cre01.g007950.t1.1	CYP55B1
Cre01.g008150.t1.1	RPK1
Cre01.g008650.t1.1	CDK1
Cre01.g008850.t1.1	HLM2
Cre01.g009250.t1.1	TOP2
Cre01.g009350.t1.2	AIH2
Cre01.g009400.t1.2	NSS2
Cre01.g009450.t1.1	DNJ22
Cre01.g009500.t1.2	CDPK3
Cre01.g009650.t1.2	BUG25
Cre01.g009800.t1.2	FAP289
Cre01.g009900.t1.1	CDJ3
Cre01.g009950.t1.2	NEP1
Cre01.g010000.t1.2	MAPK8
Cre01.g010350.t1.2	LIPB
Cre01.g010400.t1.2	FAP380
Cre01.g010550.t1.1	HLD2
Cre01.g010550.t2.1	HLD2
Cre01.g010700.t1.2	SYP2
Cre01.g010900.t1.2	GAP3
Cre01.g011000.t1.2	RPL6
Cre01.g011300.t1.1	SCLP50
Cre01.g011500.t1.2	RPN11
Cre01.g011901.t1.1	ARS7
Cre01.g012050.t1.2	NAR1.6
Cre01.g012100.t1.1	ARS4
Cre01.g012150.t1.2	MSRA4
Cre01.g012600.t1.1	PGM1	GPM2
Cre01.g012650.t1.1	KCN9
Cre01.g012700.t1.2	KCN6
Cre01.g012750.t1.1	KCN7
Cre01.g012800.t1.1	FAP230
Cre01.g012800.t2.1	FAP230
Cre01.g012850.t1.2	KCN8
Cre01.g013100.t1.1	PRL10
Cre01.g013150.t1.2	CGLD35
Cre01.g013300.t1.1	DEG10
Cre01.g013400.t1.1	PIGS
Cre01.g013700.t1.2	VDAC1
Cre01.g013700.t2.1	VDAC1
Cre01.g013800.t1.1	TCY1
Cre01.g014150.t1.2	MFT5
Cre01.g014250.t1.1	OPR2
Cre01.g014350.t1.2	PRX5
Cre01.g014600.t1.2	CSK2
Cre01.g014650.t1.2	PFH5
Cre01.g014800.t1.1	MSH7
Cre01.g015000.t1.2	NAGK1
Cre01.g015050.t1.1	AGK1
Cre01.g015100.t1.1	CSB5
Cre01.g015200.t1.1	PDE4
Cre01.g015250.t1.1	POLD1
Cre01.g015350.t1.1	POR1
Cre01.g015500.t1.2	CGL91
Cre01.g015850.t1.1	FAP68
Cre01.g015950.t1.2	CPL11
Cre01.g016050.t1.2	PRP8
