pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline
38236902	Cz01g00020	Cz01g00020.t1	Cz01g00020.t1	PF02091,PF02092	PTHR30075,PTHR30075:SF3		6.1.1.14	K14164	GO:0006426,GO:0005737,GO:0005524,GO:0004820,GO:0000166	AT3G48110.1	EDD,EDD1	glycine-tRNA ligases	Cre10.g433000.t1.1	g10683.t1,TSG2	
38237365	Cz01g00030	Cz01g00030.t1	Cz01g00030.t1	PF01652	PTHR11960	KOG1670		K03259	GO:0006413,GO:0005737,GO:0003743,GO:0003723	AT4G18040.1	AT.EIF4E1,CUM1,EIF4E,eIF4E1	eukaryotic translation initiation factor 4E	Cre03.g199900.t1.2	g4329.t1,Cre03.g199900.t1.1,EIF4E	Eukaryotic translation initiation factor 4E
38237346	Cz01g00040	Cz01g00040.t1	Cz01g00040.t1	PF00211	PTHR11017,PTHR11017:SF145		4.6.1.1		GO:0035556,GO:0016849,GO:0009190				Cre03.g207750.t1.1	g4154.t1	
38236258	Cz01g00050	Cz01g00050.t1	Cz01g00050.t1	PF00211	PTHR11017,PTHR11017:SF145		4.6.1.1		GO:0035556,GO:0016849,GO:0009190	AT5G05160.1		Leucine-rich repeat protein kinase family protein	Cre03.g207750.t1.1	g4154.t1	
38237265	Cz01g00060	Cz01g00060.t1	Cz01g00060.t1	PF01066	PTHR15362,PTHR15362:SF4		2.7.8.11		GO:0016780,GO:0016020,GO:0008654	AT1G68000.1	ATPIS,ATPIS1,PIS1	phosphatidylinositol synthase 1	Cre03.g204751.t1.1	g4219.t1,Cre03.g204700.t1.3	
38236270	Cz01g00070	Cz01g00070.t1	Cz01g00070.t1	PF00890	PTHR10617,PTHR10617:SF103			K07007		AT5G39940.1		FAD/NAD(P)-binding oxidoreductase family protein	Cre09.g389400.t1.1	g9510.t1	
38237050	Cz01g00080	Cz01g00080.t1	Cz01g00080.t1	PF00149	PTHR11668,PTHR11668:SF248	KOG0371	3.1.3.16	K04382	GO:0016787	AT1G59830.1	PP2A-1	protein phosphatase 2A-2	Cre03.g199983.t1.1	g4366.t1,Cre19.g751950.t1.1,Cre19.g751950.t1.2	
38237391	Cz01g00090	Cz01g00090.t1	Cz01g00090.t1		PTHR12406,PTHR12406:SF7		3.1.1.3			AT1G33270.1		Acyl transferase/acyl hydrolase/lysophospholipase superfamily protein	Cre03.g195500.t2.1	g4051.t1,TGL9	
38236860	Cz01g00100	Cz01g00100.t1	Cz01g00100.t1	PF00481	PTHR13832,PTHR13832:SF303	KOG0700	3.1.3.16	K14497	GO:0003824,GO:0006470,GO:0004722	AT4G26080.1	ABI1,AtABI1	Protein phosphatase 2C family protein	Cre03.g211073.t1.1	g4468.t1,Cre19.g756350.t1.1,Cre19.g756350.t1.2	Phosphoprotein phosphatase 2C
38236905	Cz01g00110	Cz01g00110.t1	Cz01g00110.t1	PF04136	PTHR13302	KOG2604			GO:0016020,GO:0006886,GO:0005801	AT1G73430.2		sec34-like family protein	Cre03.g203750.t1.2	g4241.t1,Cre03.g203750.t1.1,COG3	Component of oligomeric golgi complex
